Standard English,E2R version,Strategy,Complex,Typology,Typology Encoded
Inverness Airport’s commitment to accessibility was recognised by the Access and Inclusivity Award from the Nairn Access Panel. They were also delighted to win the Excellence in Transport Accessibility award from the Scottish Transport Awards Summit held in October this year.,Inverness airport won awards at the Scottish Transport Awards and from Nairn Access Panel for good accessibility.,OmiSent,Inverness airport won awards at the Scottish Transport Awards and from Nairn Access Panel for good accessibility.  They were also delighted to win the Excellence in Transport Accessibility award from the Scottish Transport Awards Summit held in October this year.,Omission,3
The aviation industry has seen a dramatic drop in passenger numbers as a result of COVID-19 and the industry faces one of the longest recovery periods given the impact on route networks. ,Not many people used air travel during the coronavirus pandemic.,ModWord,The aviation industry has seen a dramatic drop in passenger numbers as a result of COVID-19,Modulation,2
Our Transport Transition Plan4 continues to develop to tackle the challenges posed by COVID-19 and provide a safe transport system to meet the needs of the country and to keep Scotland moving.,Transport Scotland have written a Transport Transition Plan. It gives information on how to keep transport safe during coronavirus. ,HidCon,Our Transport Transition Plan. It gives information on how to keep transport safe during coronavirus. ,Explanation,0
The aim of the focus group is to collect group opinions about certain topics of interest. ,The focus group gives opinions about the topic.,OmiSubj,The aim of the focus group gives opinions about the topic.,Omission,3
The NCS will make collaboration and information sharing between these services easier:,The NCS will make working together and sharing information easier for services. The NCS will also aim to:,ModGrou,The NCS will make working together and sharing information easier between these services. The NCS will also aim to:,Modulation,2
The aim of the focus group is to collect group opinions about certain topics of interest. ,The focus group gives opinions about the topic.,SynG2W,The focus group gives opinions about certain topics of interest.,Syntactic Changes,5
Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is the Prime Minister of the United Kingdom. ,PrAcron,Starmer is the Prime Minister of the UK. ,Explanation,0
"In 2018-20, life expectancy at birth in Scotland was 76.8 years for males and 81.0 years for females","In 2018, 2019 and 2020:
on average, a boy born in Scotland would live to 76;
on average, a girl born in Scotland would live to 81.",HidGra,"In 2018-20:
on average, a boy born in Scotland would live to 76;
on average, a girl born in Scotland would live to 81.",Explanation,0
The estimated healthy life expectancy of a child born in Scotland in 2018-20 was 60.9 (± 0.5) years for males and 61.8 (± 0.5) years for females.,"In 2018, 2019 and 2020:
on average, a boy born in Scotland would have good health until they were 60;
on average, a girl born in Scotland would have good health until they were 61.",HidGra,"In 2018, 2019 and 2020 The estimated healthy life :
on average, a boy born in Scotland would live to 76;
on average, a girl born in Scotland would live to 81.",Explanation,0
"The moderator asks questions and shows slides, pictures or videos to guide the group.","The moderator asks questions and shows slides, pictures, or videos to the group.",SynC2W,"The moderator asks questions and shows slides, pictures or videos to guide the group.",Syntactic Changes,5
embed human rights in social care and social work support,make sure to include people’s rights in care support,SemStere,embed human rights in care support,Substitution,4
"The conversation is guided by a person, the moderator, who helps the conversation between the people. ",One person guides the focus group. This person is the moderator. The moderator helps the talk.,GraPron,"The conversation is guided by a person, the moderator, who helps the conversation between the people. ",Grammatical Adjustments,1
News: Consultation Corner ,News about Consultations. Consultations are sets of questions that the Scottish Government ask everyone before changes are made.,WorExp,News: Consultations. Consultations are sets of questions that the Scottish Government ask everyone before changes are made.,Explanation,0
"I was nervous, of course, but it was interesting and fun !","I was worried, but it was interesting and fun!",OmiRhe,"I was worried, of course, but it was interesting and fun !",Omission,3
ensure that the NCS is an exemplar of fair work practices,make sure the NCS  follows fair work practices. make sure the NCS talks to people in a way that they can understand.,ModInf,make sure the NCS  is an exemplar of fair work practices.  make sure the NCS talks to people in a way that they can understand.,Modulation,2
How often do the participants need to practice?,How many times a week do the dancers train?,SynW2G,How often do the dancers train?,Syntactic Changes,5
increase equality and enable people and communities to thrive,help people live a good life,WorExp,help people to thrive,Explanation,0
"The moderator asks questions and shows slides, pictures or videos to guide the group.","The moderator asks questions and shows slides, pictures, or videos to the group.",GraSim,"The moderator asks questions and shows slides, pictures or videos to guide the group.",Grammatical Adjustments,1
The aviation industry has seen a dramatic drop in passenger numbers as a result of COVID-19 and the industry faces one of the longest recovery periods given the impact on route networks. ,Not many people used air travel during the coronavirus pandemic.,SynC2S,Not many people used  aviation industry  during the coronavirus pandemic.,Syntactic Changes,5
That’s why we are introducing the National Care Service (NCS).,This is why we are designing a National Care Service. This is called the NCS for short.,ModInf,This is why we are introducing a National Care Service. This is called the NCS for short.,Modulation,2
Tukiliitto has launched a citizens’ initiative together with other disability organizations.,"The Finnish organisation for people with intellectual disabilities, called Tukiliitto, has started a project with other disability organisations.",PraProp,"Tukiliitto, has started a project with other disability organisations.",Explanation,0
make sure that we recognise and value the care workforce and unpaid carers,help the workforce to feel valued,SynW2G,help and value  the workforce to feel valued,Syntactic Changes,5
Last year also saw the launch of the British Sign Language (BSL) app. This app has significantly helped ScotRail frontline staff communicate with BSL users during their journey.,ScotRail use an app that means staff can communicate with deaf passengers who use British Sign Language to communicate.,OmiSubj,ScotRail use an app that means frontline staff can communicate with deaf passengers who use British Sign Language to communicate.,Omission,3
"We have started a feedback group of Easy Read users, and we are working with this group to get their ideas. ",We have started a group of Easy Read users who want to give us feedback.,SynG2C,We have started a feedback  group of Easy Read users who want to give us feedback.,Syntactic Changes,5
"The Scottish Government is working with people and organisations across the country. Our aim is to improve community health, social work and social care support in Scotland.","The Scottish Government wants to improve community health, social work and social care support. The Scottish Governement works with people in Scotland who have used or worked in these services.",GraPron,"The Scottish Government wants to improve community health, social work and social care support. it works with people in Scotland who have used or worked in these services.",Grammatical Adjustments,1
Inverness Airport’s commitment to accessibility was recognised by the Access and Inclusivity Award from the Nairn Access Panel. They were also delighted to win the Excellence in Transport Accessibility award from the Scottish Transport Awards Summit held in October this year.,Inverness airport won awards at the Scottish Transport Awards and from Nairn Access Panel for good accessibility.,PraProp,Inverness airport  was recognised by the Access and Inclusivity Award at the Scottish Transport Awards and from Nairn Access Panel for  good accessibility . They were also delighted to win the Excellence in Transport Accessibility award from the Scottish Transport Awards Summit held in October this year.,Explanation,0
What has been your favourite piece so far?,What is your favourite piece?,GraTens,What has been your favourite piece?,Grammatical Adjustments,1
"The result across the UK was a landslide win for the Labour Party, led by Sir Keir Starmer.",The Labour Party won this election. Sir Keir Starmer is our new Prime Minister.,PraCont,"The Labour Party won this election, led by Sir Keir Starmer.",Explanation,0
"The conversation is guided by a person, the moderator, who helps the conversation between the people. ",One person guides the focus group. ,GraPass,The conversation is guided by a person,Grammatical Adjustments,1
Inverness Airport’s commitment to accessibility was recognised by the Access and Inclusivity Award from the Nairn Access Panel. They were also delighted to win the Excellence in Transport Accessibility19 award from the Scottish Transport Awards Summit held in October this year.,Inverness airport won awards at the Scottish Transport Awards and from Nairn Access Panel for good accessibility.,GraPass,Inverness airport  was recognised by awards at the Scottish Transport Awards and from Nairn Access Panel for  good accessibility .,Grammatical Adjustments,1
The NCS will make collaboration and information sharing between these services easier:,The NCS will make working together and sharing information easier for services. The NCS will also aim to:,WorExp,The NCS will make collaboration and sharing information easier for services. The NCS will also aim to:,Explanation,0
I spoke about public procurement.,I spoke about when public organisations buy things from companies.,ExpExp,I spoke about public procurement.,Explanation,0
We are shaping the NCS with organisations and people who have experience of accessing and delivering these services.,,OmiSent,We are shaping the NCS with organisations and people who have experience of accessing and delivering these services.,Omission,3
"The Scottish Government is working with people and organisations across the country. Our aim is to improve community health, social work and social care support in Scotland.","The Scottish Government wants to improve community health, social work and social care support. The Scottish Governement works with people in Scotland who have used or worked in these services.",OmiComp,"The Scottish Government wants to improve community health, social work and social care support. The Scottish Governement works with people and organisations  in Scotland who have used or worked in these services.",Omission,3
co-design services with people with experience of accessing and delivering them,co-design services with people who use or work in them and their carers. Co-design means you can share your ideas and experiences with us. It means working with other people to find out how to make things better.,WorExp,co-design services with people who use or work in them and their carers.,Explanation,0
"The conversation is guided by a person, the moderator, who helps the conversation between the people. ",One person guides the focus group. This person is the moderator. The moderator helps the talk.,SynW2G,One person guides the conversation. This person is the moderator. The moderator helps the talk.,Syntactic Changes,5
Inverness continue to work with AccessAble to produce accessibility guides hosted on their website and have started discussions with Trusted Travel Buddies who provide assisted travel to those who require additional support when travelling.,Inverness also has accessibility guides on their website and new ramps to make it easy for wheelchairs to get on the aeroplane.,OmiSubj,Inverness also has accessibility guides on their website and new ramps to make it easy for wheelchairs to get on the aeroplane  with Trusted Travel Buddies.,Omission,3
"In 2018-20, life expectancy at birth in Scotland was 76.8 years for males and 81.0 years for females","In 2018, 2019 and 2020: on average, a boy born in Scotland would live to 76;
on average, a girl born in Scotland would live to 81.",TraVer,"In 2018, 2019 and 2020: life expectancy at birth in Scotland was 76.8 years for males and 81.0 years for females",Transposition,6
embed human rights in social care and social work support,make sure to include people’s rights in care support,SemStere,make sure to include people’s rights in social care and social work support,Substitution,4
How did you become a bassist and part of the punk band Pertti Kurikan Nimipäivät?,How did you become part of the punk band?,PraProp,How did you become part of the punk band Pertti Kurikan Nimipäivät?,Explanation,0
